loan_id,no_of_dependents,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,education_ Not Graduate,self_employed_ Yes,loan_status
2174,0,4900000,16400000,2,383,3300000,3500000,15000000,5800000,False,False, Approved
2612,3,4800000,14200000,12,369,3200000,200000,14000000,3000000,True,True, Rejected
2772,1,2900000,7600000,2,358,800000,700000,10100000,2100000,False,False, Rejected
1178,4,3500000,8900000,20,809,7100000,1500000,13700000,3200000,False,False, Approved
2371,3,300000,1000000,8,641,700000,200000,1100000,200000,False,True, Approved
2522,1,3500000,8100000,10,626,7100000,5500000,7200000,2900000,False,True, Approved
4244,0,1600000,3400000,8,867,-100000,2700000,4300000,1300000,True,True, Approved
1150,4,3700000,7400000,12,363,4800000,6800000,10500000,4400000,True,True, Rejected
3646,2,8200000,30600000,10,343,9800000,11500000,16900000,7000000,True,False, Rejected
3724,1,3500000,12700000,4,350,5200000,6800000,12900000,1800000,True,False, Approved
654,5,2900000,6700000,14,796,3800000,3700000,9700000,4200000,False,False, Approved
3594,2,2200000,6800000,20,546,4600000,200000,4500000,2200000,False,False, Rejected
1842,3,400000,1100000,16,504,200000,400000,800000,400000,True,False, Rejected
17,2,500000,1600000,4,663,1300000,100000,1300000,700000,False,True, Approved
3438,3,200000,700000,18,526,400000,100000,500000,0,True,True, Rejected
274,1,5900000,16700000,16,308,5800000,8800000,19100000,5300000,False,True, Rejected
157,2,3000000,7700000,12,890,4700000,4300000,8400000,2100000,False,False, Approved
1604,5,3500000,11800000,4,642,2300000,2900000,11900000,3600000,True,True, Approved
3106,5,1300000,2900000,4,372,1700000,100000,2800000,600000,False,False, Rejected
542,1,4400000,14200000,16,409,12700000,1300000,12600000,4500000,True,True, Rejected
590,1,9300000,28600000,14,656,17300000,9100000,27400000,12500000,False,False, Approved
3630,2,5400000,20600000,18,621,11200000,2200000,11600000,5500000,False,False, Approved
3350,2,4700000,14600000,20,597,8200000,6000000,14100000,6800000,True,False, Approved
1316,4,4100000,9600000,10,521,11900000,7100000,14100000,4900000,True,True, Rejected
1629,5,4200000,13400000,16,545,9800000,8200000,12500000,3500000,True,False, Rejected
268,0,8600000,20900000,10,813,11300000,11900000,26000000,4800000,False,False, Approved
1899,3,800000,1500000,2,589,1500000,1100000,1800000,400000,False,True, Approved
1385,4,5200000,14100000,16,483,11800000,800000,19200000,2700000,False,False, Rejected
1654,3,6400000,23500000,12,684,17200000,10300000,25300000,7400000,True,True, Approved
2610,4,5800000,12000000,12,811,9400000,8800000,14200000,3100000,False,False, Approved
498,2,8100000,24800000,6,307,200000,4000000,31100000,10500000,True,False, Rejected
503,0,4300000,14300000,14,601,3800000,900000,16700000,5700000,False,True, Approved
3499,2,9100000,24200000,16,685,25600000,1900000,31100000,9100000,False,True, Approved
1174,2,5900000,14000000,8,599,4700000,9500000,17800000,6700000,False,False, Approved
4146,0,3100000,6500000,2,391,100000,3800000,9900000,2400000,False,False, Rejected
1363,2,600000,1100000,10,800,1200000,200000,2300000,900000,True,False, Approved
2282,2,3200000,8600000,18,638,1000000,4900000,8600000,3500000,True,False, Approved
3327,3,1500000,3200000,4,767,2000000,400000,3700000,1400000,False,False, Approved
1036,2,3800000,12500000,14,842,3700000,6700000,14600000,5300000,True,True, Approved
383,2,9300000,29000000,12,655,7900000,6800000,29900000,4900000,True,True, Approved
1977,0,900000,3500000,6,331,2400000,1400000,3500000,1100000,False,True, Rejected
1934,5,500000,1500000,6,433,-100000,700000,1900000,700000,True,False, Rejected
836,3,3500000,12000000,2,786,600000,6400000,10700000,1700000,True,True, Approved
2779,5,4000000,14100000,18,653,5800000,4100000,9400000,5400000,True,False, Approved
3462,1,4200000,11300000,4,704,4700000,2800000,14900000,4000000,False,True, Approved
2994,0,3700000,9300000,14,531,8300000,1000000,8900000,1900000,True,True, Rejected
1434,3,6500000,16500000,4,551,5300000,800000,18500000,7600000,True,False, Approved
4204,4,6400000,21900000,6,437,7000000,10000000,24600000,4100000,False,True, Rejected
2330,4,9000000,30400000,20,532,21000000,7400000,30500000,13100000,False,True, Rejected
2535,3,800000,3000000,14,576,1200000,1300000,2600000,400000,True,False, Approved
3728,1,7500000,22500000,14,469,12300000,9600000,16200000,4500000,True,True, Rejected
514,3,3400000,9700000,20,728,1500000,1500000,7300000,2400000,False,True, Approved
1432,5,1400000,3000000,6,754,3500000,2700000,5300000,1400000,True,False, Approved
1983,2,400000,1000000,6,425,800000,300000,800000,200000,True,False, Rejected
897,5,5300000,13400000,8,719,1600000,200000,11400000,5300000,False,False, Approved
2283,0,7500000,16600000,14,440,17200000,14500000,24100000,10300000,False,True, Rejected
3498,0,6000000,22700000,10,480,200000,11900000,13700000,8700000,True,True, Rejected
1876,1,2300000,6400000,8,578,3600000,1800000,7000000,3000000,True,True, Approved
2179,5,7600000,27800000,2,753,18400000,12200000,16900000,8000000,True,False, Approved
1947,2,8400000,32100000,20,328,16300000,4600000,19500000,8000000,False,False, Rejected
842,0,8300000,30000000,4,600,14600000,12500000,24800000,12000000,False,True, Approved
785,0,5000000,14400000,2,761,-100000,7300000,12600000,4500000,False,False, Approved
374,4,9200000,25500000,10,900,9400000,10500000,27400000,12800000,True,True, Approved
2426,0,6000000,22900000,16,302,12200000,6500000,17700000,7100000,True,False, Rejected
732,2,3400000,12900000,14,857,3400000,2500000,8700000,1900000,False,False, Approved
2097,0,8100000,26500000,20,342,5800000,5600000,23700000,5800000,True,False, Rejected
474,5,8200000,23500000,12,402,15100000,1500000,24300000,5800000,False,True, Rejected
368,1,9400000,29800000,10,377,24100000,18500000,30900000,11700000,True,True, Rejected
612,1,7200000,24900000,14,666,3600000,11600000,16600000,5800000,True,False, Approved
2042,4,3700000,11900000,18,635,6100000,6400000,11200000,4700000,True,True, Approved
4132,1,1000000,3000000,18,614,1800000,1700000,3700000,700000,False,False, Approved
1660,1,500000,1700000,2,680,700000,800000,1400000,700000,True,False, Approved
181,3,4500000,17900000,6,787,9800000,3600000,14300000,4200000,True,True, Approved
1537,4,5100000,19400000,8,755,2200000,300000,14900000,5300000,True,False, Approved
197,4,400000,1500000,2,669,-100000,600000,900000,500000,True,True, Approved
783,3,5800000,20100000,18,791,1400000,10800000,16300000,5600000,True,False, Approved
4035,0,5300000,12900000,20,826,15500000,6800000,12000000,5200000,False,True, Approved
728,3,2200000,8800000,2,877,5000000,1300000,6400000,3100000,True,True, Approved
106,3,4200000,9700000,16,841,7800000,300000,16700000,5100000,True,True, Approved
3816,0,9500000,32000000,2,500,8300000,9700000,24500000,5600000,True,True, Approved
2744,4,2900000,8900000,18,827,400000,3400000,11200000,1600000,True,True, Approved
2950,0,8500000,33700000,10,483,18800000,8900000,29000000,12200000,False,True, Rejected
1398,1,9200000,24500000,4,545,25700000,0,20600000,13300000,True,True, Rejected
4128,2,5300000,13200000,10,500,4700000,9800000,20400000,2900000,False,False, Rejected
1267,4,6800000,17000000,2,749,18000000,3800000,27100000,9400000,True,False, Approved
2490,1,800000,2800000,16,726,2000000,1300000,3100000,1200000,True,True, Approved
2781,3,7700000,18900000,2,583,9300000,3000000,16700000,9300000,False,True, Approved
1216,5,9600000,38000000,10,359,2100000,13600000,38200000,9400000,False,True, Rejected
3297,4,3100000,6300000,4,370,8600000,4100000,8800000,2800000,False,False, Rejected
2074,0,8400000,19600000,18,530,17000000,3600000,24200000,12300000,True,False, Rejected
2774,2,2700000,9600000,14,554,5800000,200000,10200000,1900000,False,True, Approved
618,5,5400000,15100000,12,522,5200000,4700000,13900000,5700000,True,False, Rejected
3308,1,800000,2300000,10,770,900000,900000,2900000,1100000,False,False, Approved
1358,0,4700000,15500000,16,311,12800000,200000,17500000,2700000,True,False, Rejected
608,0,6000000,13100000,6,385,16600000,7600000,22000000,7400000,True,False, Rejected
3417,4,5700000,13300000,2,333,9400000,3000000,11800000,8200000,True,False, Rejected
1905,0,1800000,6000000,12,658,2900000,2300000,4500000,2400000,False,True, Approved
876,1,1700000,4500000,20,480,200000,600000,5400000,1900000,True,True, Rejected
2253,0,1800000,3700000,2,505,3900000,2400000,4500000,1400000,True,True, Rejected
3442,5,7400000,24000000,16,854,4300000,6700000,20600000,8700000,True,True, Approved
4266,0,3300000,11300000,20,559,4200000,2900000,11000000,1900000,True,True, Approved
532,4,300000,1000000,20,655,0,100000,1100000,400000,True,True, Approved
249,0,8400000,20600000,10,477,1500000,1500000,25000000,11900000,False,False, Rejected
1817,5,8000000,22500000,20,784,7600000,7300000,26000000,10800000,True,True, Approved
1832,0,5000000,16300000,12,737,2600000,3400000,11800000,4400000,True,False, Approved
186,2,3800000,10900000,10,766,1900000,3900000,8600000,3000000,False,True, Approved
2983,5,4500000,16900000,18,455,2700000,2500000,10700000,5600000,False,False, Rejected
3735,5,2100000,7300000,18,358,3700000,3200000,7200000,2200000,False,False, Rejected
1609,5,5500000,21200000,4,582,12100000,8300000,17100000,3100000,True,False, Approved
3929,2,6400000,16500000,8,544,12100000,6300000,15200000,5400000,False,False, Rejected
3524,4,5500000,18900000,6,379,13900000,9100000,18500000,3100000,False,True, Rejected
4102,4,400000,800000,16,685,500000,300000,1300000,600000,False,False, Approved
3710,3,4100000,11700000,10,729,6900000,6200000,15400000,2100000,False,False, Approved
3676,4,4100000,13100000,14,772,11200000,4200000,10500000,3800000,True,False, Approved
1993,0,7300000,22600000,12,851,3300000,3400000,24800000,5300000,True,True, Approved
1901,5,4300000,14100000,12,532,12600000,5700000,12000000,4600000,True,True, Rejected
1371,4,8900000,34000000,20,415,13500000,3100000,33600000,12800000,False,True, Rejected
3294,3,9400000,32100000,10,617,22700000,5800000,29400000,11400000,True,True, Approved
635,1,8400000,29900000,16,476,16100000,2400000,32700000,7500000,True,False, Rejected
3375,2,7500000,19900000,10,790,3500000,13000000,19900000,5900000,False,False, Approved
3982,0,2700000,7500000,6,832,7700000,1200000,10000000,2500000,False,False, Approved
417,0,6100000,23300000,12,478,3800000,2300000,17700000,4900000,False,True, Rejected
2531,0,2400000,9100000,8,368,2200000,200000,5600000,3300000,True,True, Rejected
2413,4,9700000,26200000,4,518,26200000,0,22500000,14000000,True,False, Rejected
245,2,2100000,5100000,12,674,2200000,3200000,6400000,2400000,True,False, Approved
1044,2,5800000,13300000,4,878,8400000,5400000,18600000,4500000,False,False, Approved
1485,0,5400000,10900000,20,366,3700000,500000,21000000,4800000,True,True, Rejected
2246,4,2500000,9000000,10,394,6700000,2000000,7300000,3000000,False,True, Rejected
1880,3,2700000,10600000,8,840,500000,3000000,9000000,1900000,True,True, Approved
11,4,2900000,11200000,2,547,8100000,4700000,9500000,3100000,False,True, Approved
3834,4,5000000,18100000,12,424,5200000,2000000,14500000,6100000,True,True, Rejected
332,3,8200000,20600000,10,441,16100000,11400000,29100000,6100000,True,True, Rejected
1560,1,7500000,29800000,18,770,1400000,5200000,28000000,8700000,False,True, Approved
1910,4,2400000,7300000,4,540,2500000,300000,7800000,2200000,True,False, Approved
952,5,1100000,2500000,4,827,2400000,1000000,4100000,600000,True,False, Approved
539,5,8600000,26300000,10,843,23300000,9800000,18100000,11300000,True,True, Approved
600,1,4900000,16800000,12,758,1700000,2700000,11100000,5900000,True,True, Approved
3331,1,6300000,17200000,12,714,10100000,4200000,24700000,8500000,False,False, Approved
828,5,800000,2500000,4,780,500000,900000,1700000,400000,True,True, Approved
966,3,8500000,30300000,12,762,12700000,3700000,20000000,4200000,True,True, Approved
2450,5,5200000,12700000,16,718,11700000,100000,18100000,7200000,False,True, Approved
3414,0,6000000,22000000,12,826,1400000,2000000,14100000,7000000,True,False, Approved
1662,2,3100000,10700000,16,357,9200000,1900000,7700000,3800000,True,True, Rejected
3864,3,4700000,9600000,10,545,5200000,7200000,12000000,5300000,False,False, Rejected
3009,2,7100000,27000000,10,430,20700000,8300000,24500000,4200000,True,False, Rejected
2742,2,5300000,19300000,16,368,14700000,400000,11600000,3700000,False,False, Rejected
2691,0,8300000,16800000,18,422,8000000,10600000,23300000,11400000,True,True, Rejected
337,3,7900000,18300000,10,731,4200000,3400000,22200000,8400000,False,False, Approved
1531,0,8800000,23600000,8,712,400000,11300000,19300000,11100000,False,True, Approved
